Year,Date,Day,Max,Min,Avg
2024,1-Jan,1,3.35,-5.13,-1.72
2024,2-Jan,2,2.61,-5.37,-2.12
2024,3-Jan,3,3.13,-3.9,-1.13
2024,4-Jan,4,3.94,-4.01,-0.91
2024,5-Jan,5,3.08,-4.11,-1.13
2024,6-Jan,6,3.19,-2.45,-0.01
2024,7-Jan,7,3.24,-3.87,-0.7
2024,8-Jan,8,3.63,-3.38,-0.02
2024,9-Jan,9,0.94,-0.58,0.27
2024,10-Jan,10,0.08,-5.31,-2.1
2024,11-Jan,11,1.51,-2.97,-0.88
2024,12-Jan,12,1.78,-7.18,-0.74
2024,13-Jan,13,-7.27,-18.06,-11.36
2024,14-Jan,14,-19.85,-25.84,-22.3
2024,15-Jan,15,-15.74,-27.46,-20.4
2024,16-Jan,16,-13.51,-22.3,-17.69
2024,17-Jan,17,-3.17,-19.38,-10.46
2024,18-Jan,18,-0.13,-6.92,-4.17
2024,19-Jan,19,-7.89,-15.66,-12.8
2024,20-Jan,20,-9.77,-20.42,-15.86
2024,21-Jan,21,-5.14,-18.92,-11.73
2024,22-Jan,22,0.36,-8.6,-2.49
2024,23-Jan,23,2.6,0.26,1.13
2024,24-Jan,24,4.47,1.03,2.43
2024,25-Jan,25,3.26,-1.02,1.4
2024,26-Jan,26,4.51,-0.06,1.61
2024,27-Jan,27,3.21,0.39,1.4
2024,28-Jan,28,3.7,-1.43,0.79
2024,29-Jan,29,5.31,-2.22,0.08
2024,30-Jan,30,3.9,-2.52,0.87
2024,31-Jan,31,7.04,-2.15,1.14
2024,1-Feb,32,10.18,-0.76,3.4
2024,2-Feb,33,8.55,-2.15,2.4
2024,3-Feb,34,8.94,-2.57,1.39
2024,4-Feb,35,10.48,-2.7,2.07
2024,5-Feb,36,9.45,-2.67,1.33
2024,6-Feb,37,7.08,-1.87,1.3
2024,7-Feb,38,9.51,-2.42,3.55
2024,8-Feb,39,14.48,4.91,10.31
2024,9-Feb,40,17.25,5.69,11.26
2024,10-Feb,41,7.03,-0.56,3.05
2024,11-Feb,42,7.74,-3.88,1.15
2024,12-Feb,43,6.01,-3.89,0.26
2024,13-Feb,44,8.89,-3.28,2.06
2024,14-Feb,45,10.26,-2.71,3.18
2024,15-Feb,46,9.2,-1.99,4.72
2024,16-Feb,47,-0.57,-7.04,-2.52
2024,17-Feb,48,-3.12,-11.34,-7.4
2024,18-Feb,49,4.49,-7,-2.04
2024,19-Feb,50,8.3,-4.38,0.9
2024,20-Feb,51,12.18,-1.94,3.44
2024,21-Feb,52,16.26,-0.08,8.7
2024,22-Feb,53,15.59,5.43,10.87
2024,23-Feb,54,11.8,1.31,6.46
2024,24-Feb,55,4.08,-5.18,-0.51
2024,25-Feb,56,15.19,-2.93,5.55
2024,26-Feb,57,21.01,5.12,12.74
2024,27-Feb,58,22.99,9.04,17.66
2024,28-Feb,59,6.77,-5.85,-1.05
2024,29-Feb,60,6.97,-6.15,-0.17
2024,1-Mar,61,8.91,-3.6,2.32
2024,2-Mar,62,14.33,1.68,6.76
2024,3-Mar,63,19.59,5.28,11.96
2024,4-Mar,64,23.14,12.05,17.19
2024,5-Mar,65,16.65,4.58,10.98
2024,6-Mar,66,14.48,2.83,7.43
2024,7-Mar,67,13.21,3.78,8.51
2024,8-Mar,68,16.47,6.88,11.27
2024,9-Mar,69,9.43,-0.52,5.15
2024,10-Mar,70,8.92,-3.96,2.2
2024,11-Mar,71,17.43,-2.25,7.4
2024,12-Mar,72,20.17,4.01,11.57
2024,13-Mar,73,22.26,7.48,15.42
2024,14-Mar,74,20.94,7.57,16.3
2024,15-Mar,75,14.94,4.92,8.94
2024,16-Mar,76,17.1,2.51,8.78
2024,17-Mar,77,6.51,-3.63,2.15
2024,18-Mar,78,1.99,-5.32,-1.91
2024,19-Mar,79,14.87,-4.24,4.87
2024,20-Mar,80,9,-3.5,3.5
2024,21-Mar,81,8.18,-4.12,1.81
2024,22-Mar,82,12.81,-1.8,4.45
2024,23-Mar,83,8.58,-0.75,3.12
2024,24-Mar,84,12.31,-1.63,5.36
2024,25-Mar,85,16.62,5.37,11.68
2024,26-Mar,86,12.27,0.9,7.92
2024,27-Mar,87,8.66,-1.85,2.69
2024,28-Mar,88,15.42,-0.48,7.55
2024,29-Mar,89,20.59,5.21,12.16
2024,30-Mar,90,22.38,6.93,15.4
2024,31-Mar,91,19.93,5.09,12.87
2024,1-Apr,92,18.76,7.44,14.05
2024,2-Apr,93,21.8,2.95,12.56
2024,3-Apr,94,4.15,1.27,2.5
2024,4-Apr,95,6.09,0.83,3.19
2024,5-Apr,96,11.43,-0.61,4.84
2024,6-Apr,97,13.98,-2.83,6.19
2024,7-Apr,98,15.69,3.69,10.31
2024,8-Apr,99,23.89,5.89,14.74
2024,9-Apr,100,19.12,9.33,14
2024,10-Apr,101,17.23,7.24,12.7
2024,11-Apr,102,15.92,9.04,12.65
2024,12-Apr,103,17.11,6.73,11.14
2024,13-Apr,104,21.68,3.9,13.35
2024,14-Apr,105,26.98,14.19,20.27
2024,15-Apr,106,26.69,13.02,19.13
2024,16-Apr,107,27.23,13.94,20.52
2024,17-Apr,108,21.12,10.69,17.74
2024,18-Apr,109,22.43,8.15,16.17
2024,19-Apr,110,14.05,5.72,9.82
2024,20-Apr,111,11.53,1.39,6.12
2024,21-Apr,112,14.01,-0.71,6.57
2024,22-Apr,113,18.49,1.22,10.61
2024,23-Apr,114,16.07,8.51,11.62
2024,24-Apr,115,14.73,1.19,8.44
2024,25-Apr,116,17.07,-1.1,8.55
2024,26-Apr,117,16.31,5.62,12.43
2024,27-Apr,118,25.19,16.47,20.62
2024,28-Apr,119,25.43,18.11,20.73
2024,29-Apr,120,20.7,13.59,18.14
2024,30-Apr,121,25.37,9.47,18.08
2024,1-May,122,25.24,14.61,19.87
2024,2-May,123,27.81,13.56,20.92
2024,3-May,124,24.53,13.27,19.73
2024,4-May,125,27.52,11.51,20.08
2024,5-May,126,22.48,11.61,16.68
2024,6-May,127,24.88,11.01,18.26
2024,7-May,128,26.94,15.52,20.9
2024,8-May,129,26.94,13.7,20.82
2024,9-May,130,22.72,11.51,18.41
2024,10-May,131,20.47,9.01,15.17
2024,11-May,132,22.39,11.42,16.68
2024,12-May,133,27.05,11.6,19.48
2024,13-May,134,25.19,14.85,19.52
2024,14-May,135,19.4,14.27,17.14
2024,15-May,136,23.83,12.59,18.05
2024,16-May,137,22.55,12.29,17.7
2024,17-May,138,25.52,16.03,20.61
2024,18-May,139,27.63,14.91,21.99
2024,19-May,140,29.95,16.76,24.07
2024,20-May,141,29.02,17.8,23.45
2024,21-May,142,29.56,19.31,24.58
2024,22-May,143,24.74,15.28,20.09
2024,23-May,144,26.77,12.47,20.44
2024,24-May,145,26.78,17.51,21.96
2024,25-May,146,25.23,14.67,20.19
2024,26-May,147,24.26,14.65,19.62
2024,27-May,148,24.09,14.69,18.87
2024,28-May,149,23.94,12.71,18.41
2024,29-May,150,22.13,10.62,16.75
2024,30-May,151,23.81,8.26,16.76
2024,31-May,152,24.4,12.02,18.64
2024,1-Jun,153,23.44,15.15,18.9
2024,2-Jun,154,24.54,15.55,19.82
2024,3-Jun,155,28.18,15.46,22.61
2024,4-Jun,156,25.2,19.23,22.06
2024,5-Jun,157,25.1,16.94,21.65
2024,6-Jun,158,25.58,15.69,20.47
2024,7-Jun,159,25.3,12.86,19.89
2024,8-Jun,160,23.65,15.33,19.75
2024,9-Jun,161,25.11,12.5,18.67
2024,10-Jun,162,20.68,10.05,15.54
2024,11-Jun,163,24.01,10.6,17.58
2024,12-Jun,164,28.55,13.8,21.65
2024,13-Jun,165,29.01,16.77,23.58
2024,14-Jun,166,29.22,18.14,24.37
2024,15-Jun,167,28.52,15.1,22.2
2024,16-Jun,168,29.35,16.02,24.02
2024,17-Jun,169,30.51,22.87,26.08
2024,18-Jun,170,28.03,21.3,24.42
2024,19-Jun,171,30.29,20.91,25.64
2024,20-Jun,172,31.14,19.87,26.08
2024,21-Jun,173,30.8,20.34,25.78
2024,22-Jun,174,30.22,20.88,25.94
2024,23-Jun,175,28.54,18.98,24.56
2024,24-Jun,176,29.55,18.73,24.42
2024,25-Jun,177,30.42,21.37,25.23
2024,26-Jun,178,27.4,19.51,24.26
2024,27-Jun,179,26.04,16.77,20.8
2024,28-Jun,180,27.9,16.8,23.24
2024,29-Jun,181,29.05,21.62,25.73
2024,30-Jun,182,23.52,11.75,19.4
2024,1-Jul,183,23.34,10.27,17.48
2024,2-Jul,184,27.44,15.4,21.85
2024,3-Jul,185,28.55,21.34,24.22
2024,4-Jul,186,26.8,20.28,23.47
2024,5-Jul,187,27.6,18.03,22.51
2024,6-Jul,188,26.61,16.13,22.01
2024,7-Jul,189,28.84,18.25,24.1
2024,8-Jul,190,28.16,19.29,23.73
2024,9-Jul,191,24.66,17.43,21.92
2024,10-Jul,192,27.72,14.39,21.9
2024,11-Jul,193,27.85,19.37,23.61
2024,12-Jul,194,-999,-999,-999
2024,13-Jul,195,-999,-999,-999
2024,14-Jul,196,-999,-999,-999
2024,15-Jul,197,31.11,23.66,27.23
2024,16-Jul,198,27.14,21.57,24.85
2024,17-Jul,199,27.51,17.41,23.4
2024,18-Jul,200,23.55,14.26,18.98
2024,19-Jul,201,24.8,12,19.23
2024,20-Jul,202,25.65,14.27,20.79
2024,21-Jul,203,26.05,16.46,21.83
2024,22-Jul,204,27.05,17.22,23.06
2024,23-Jul,205,27.7,18.63,23.52
2024,24-Jul,206,28.37,19.1,23.81
2024,25-Jul,207,26.35,16.69,21.67
2024,26-Jul,208,25.8,13.46,20.08
2024,27-Jul,209,26.97,13.75,21.43
2024,28-Jul,210,27.4,20.03,23.28
2024,29-Jul,211,28.04,21.29,24.32
2024,30-Jul,212,30.19,20.36,25.4
2024,31-Jul,213,30.01,22.12,25.98
2024,1-Aug,214,29,21.62,25.07
2024,2-Aug,215,25.98,20.93,23.36
2024,3-Aug,216,30.28,19.44,25.74
2024,4-Aug,217,30.19,20.57,25.82
2024,5-Aug,218,31.25,21.91,26.34
2024,6-Aug,219,30,19.03,24.5
2024,7-Aug,220,25.42,17.27,21.06
2024,8-Aug,221,26.33,16.85,21.73
2024,9-Aug,222,22.5,14.02,19.09
2024,10-Aug,223,23.08,11.74,17.64
2024,11-Aug,224,24.35,12.33,18.95
2024,12-Aug,225,25.28,14.88,20.33
2024,13-Aug,226,25.8,16.43,21.23
2024,14-Aug,227,27.57,15.75,21.8
2024,15-Aug,228,25.93,18.29,22.05
2024,16-Aug,229,29.22,22.46,25.38
2024,17-Aug,230,26.22,20.16,22.98
2024,18-Aug,231,25.62,18.07,21.94
2024,19-Aug,232,24.38,14.12,19.3
2024,20-Aug,233,22.16,12.55,17.05
2024,21-Aug,234,22.56,10.44,16.26
2024,22-Aug,235,23.75,9.43,16.8
2024,23-Aug,236,27.03,10.63,19.66
2024,24-Aug,237,30.65,17.8,24.12
2024,25-Aug,238,30.26,18.69,24.34
2024,26-Aug,239,31.73,19.87,25.57
2024,27-Aug,240,32.83,21.37,27.31
2024,28-Aug,241,30.08,22.55,25.65
2024,29-Aug,242,31.85,20.73,26.25
2024,30-Aug,243,32.47,21.75,26.4
2024,31-Aug,244,26.4,16.95,21.94
2024,1-Sep,245,26.58,13.8,19.62
2024,2-Sep,246,22.51,11.44,16.54
2024,3-Sep,247,22.61,9.95,15.78
2024,4-Sep,248,27.94,9.59,19.62
2024,5-Sep,249,29.23,17.38,23.26
2024,6-Sep,250,24.36,12.48,19.67
2024,7-Sep,251,19.17,8.83,13.6
2024,8-Sep,252,20.29,6.68,13.87
2024,9-Sep,253,24.08,7.74,16.55
2024,10-Sep,254,26.81,11.37,20.01
2024,11-Sep,255,28.62,13.94,20.71
2024,12-Sep,256,29.2,12.62,20.86
