Ranking,Institution,Address
2,"University of California, Davis","1 Shields Ave, Davis, CA 95616"
4,Cornell University,"410 Thurston Ave, Ithaca, NY 14850"
5,Purdue University,"915 Mitch Daniels Blvd, West Lafayette, IN 47907"
10,"University of California, Berkeley","University of California, Berkeley, Berkeley, CA"
11,Iowa State University,"Iowa State University, Ames, IA 50011"
12,University of Wisconsin-Madison,"500 Lincoln Dr, Madison, WI 53706"
14,Michigan State University,"426 Auditorium Rd, East Lansing, MI 48824"
14,Texas A&M University,"400 Bizzell St, College Station, TX 77840"
19,University of Florida,"1478 Union Rd, Gainesville, FL 32611"
20,University of Illinois at Urbana-Champaign,"901 W Illinois St, Urbana, IL 61801"
25,North Carolina State University,"1000 Main Campus Dr, Raleigh, NC 27695"
25,Ohio State University,"281 W Lane Ave, Columbus, OH 43210"
30,University of Minnesota Twin Cities,"University of Minnesota, Minneapolis, MN 55455"
32,University of Massachusetts Amherst,"300 Massachusetts Ave, Amherst, MA 01003"
37,Oregon State University,"1500 SW Jefferson Way, Corvallis, OR 97331"
38,Pennsylvania State University,"Lewis Katz, University Park, PA 16802"
45,Colorado State University,"Colorado State University, Fort Collins, CO 80523"
48,University of Nebraska - Lincoln,"Morrill Hall, 645 N 14th St, Lincoln, NE 68588"
49,Kansas State University ,"919 Mid-Campus Dr, Manhattan, KS 66506"
51,Washington State University,"255 E Main St, Pullman, WA 99163"
56,University of Georgia,"210 S Jackson St, Athens, GA 30602"
74,Yale University,"133 Wall St, New Haven, CT 06511"
75,Virginia Polytechnic Institute and State University,"925 Prices Fork Rd, Blacksburg, VA 24061"
81,University of Maryland,"7999 Regents Dr, College Park, MD 20740"
82,Duke University,"2138 Campus Dr, Durham, NC 27708"
84,"University of California, Riverside","900 University Ave, Riverside, CA 92521"
89,"University of Missouri, Columbia","University of Missouri, Columbia, MO 65211"
91,University of Arizona,"1200 E University Blvd, Tucson, AZ 85721"
101-150,Oklahoma State University ,"Oklahoma State University, Stillwater, OK"
101-150,Rutgers University,"100 Sutphen Rd, Piscataway, NJ 08854"
101-150,University of Hawai?i at M?noa,"2500 Campus Rd, Honolulu, HI 96822"
101-150,University of Kentucky,"University of Kentucky, Lexington, KY 40506"
101-150,University of Michigan,"500 S State St, Ann Arbor, MI 48109"
151-200,Arizona State University,"1151 S Forest Ave, Tempe, AZ"
151-200,Auburn University,"Quad Center, Auburn, AL 36849"
151-200,Clemson University,"5 Research Dr, Greenville, SC 29607"
151-200,Louisiana State University,"Louisiana State University Baton Rouge, LA 70803"
151-200,New York University,"New York University, New York, NY 10012"
151-200,Northern Arizona University,"S San Francisco St, Flagstaff, AZ 86011"
151-200,Texas Tech University,"2500 Broadway Lubbock, Texas 79409"
151-200,University of Tennessee,"University of Tennessee, Knoxville, TN 37996"
151-200,University of Arkansas,"University of Arkansas, Fayetteville, AR 72701"
151-200,University of Kansas,"1450 Jayhawk Blvd, Lawrence, KS 66045"
201-250,Mississippi State University,"Montgomery Hall, 25 Old Main #101, Mississippi State, MS 39762"
201-250,University of Idaho,"875 Perimeter Dr, Moscow, ID 83844"
201-250,Utah State University ,"1600 Old Main Hill, Logan, UT 84322"
251-300,University of Connecticut,"352 Mansfield Rd, Storrs, CT 06269"
251-300,University of Maine,"168 College Ave, Orono, ME 04469"
251-300,University of New Hampshire,"105 Main St, Durham, NH 03824"
251-300,University of South Florida,"4202 E Fowler Ave, Tampa, FL 33620"
301-350,Montana State University,"Montana State University, 201 Strand Union Building, Bozeman, MT 59717"
301-350,University of Massachusetts Boston,"100 Morrissey Blvd, Boston, MA 02125"
301-350,University of Vermont,"590 Main St, Burlington, VT 05405"
351-400,SUNY - College of Environemntal Science and Forestry,"1 Forestry Dr, Syracuse, NY 13210"
351-400,West Virginia University,"West Virginia University, Morgantown, WV 26506"
401-450,Illinois State University,"100 N University St, Normal, IL 61761"
401-450,New Mexico State University,"1780 E University Ave, Las Cruces, NM 88003"
401-450,North Carolina A & T State University,"1601 E Market St, Greensboro, NC 27411"
401-450,University of Delaware,"210 S College Ave, Newark, DE 19716"
401-450,University of Montana,"32 Campus Dr, Missoula, MT 59812"
401-450,University of Nevada,"1664 N Virginia St, Reno, NV 89557"
401-450,University of Rhode Island ,"45 Upper College Rd, Kingston, RI 02881"
