Site,Block,Rows,Yield,AGW,GN
AV,I,1,284.43,30.69,9267
AV,I,2,271.08,49.12,5519
AV,I,3,260.44,25.47,10224
AV,I,4,375.78,29.24,12853
AV,I,5,239.39,26.49,9038
AV,II,1,337.32,28.55,11816
AV,II,2,416.37,24.76,16814
AV,II,3,619.96,23.88,25959
AV,II,4,248.08,29.22,8491
AV,II,5,343.31,28.79,11926
AV,III,1,277.69,28.78,9649
AV,III,2,554.97,26.71,20778
AV,III,3,544.07,23.86,22799
AV,III,4,442.08,25.39,17414
AV,III,5,298.27,29.46,10124
AV,IV,1,382.53,28.61,13371
AV,IV,2,448.77,29.26,15338
AV,IV,3,644.60,20.89,30858
AV,IV,4,466.11,27.73,16811
AV,IV,5,432.95,27.66,15653
Control,I,1,313.73,28.12,13248
Control,II,1,441.65,26.29,19952
Control,III,1,542.28,20.79,30974
Control,IV,1,364.59,27.69,15637
Control,I,2,293.05,28.12,13248
Control,II,2,412.54,26.29,19952
Control,III,2,506.54,20.79,30974
Control,IV,2,340.56,27.69,15637
Control,I,3,372.60,28.12,13248
Control,II,3,524.53,26.29,19952
Control,III,3,644.04,20.79,30974
Control,IV,3,433.01,27.69,15637
Control,I,4,344.66,28.12,13248
Control,II,4,485.19,26.29,19952
Control,III,4,595.74,20.79,30974
Control,IV,4,400.53,27.69,15637
Control,I,5,352.85,28.12,13248
Control,II,5,496.73,26.29,19952
Control,III,5,609.91,20.79,30974
Control,IV,5,410.06,27.69,15637
