Season,Crop,Day,Carbon_flux,Nitrogen_flux
2019,Soybean,0,17.0147493,0.01907119
2019,Soybean,1,33.37356633,0.037587053
2019,Soybean,2,49.0764511,0.055547589
2019,Soybean,3,64.12340361,0.072952798
2019,Soybean,4,78.51442386,0.08980268
2019,Soybean,5,92.24951184,0.106097236
2019,Soybean,6,105.3286676,0.121836464
2019,Soybean,7,117.751891,0.137020366
2019,Soybean,8,137.1097771,0.159751263
2019,Soybean,9,163.4023258,0.190029156
2019,Soybean,10,189.1857084,0.217288418
2019,Soybean,11,214.459925,0.24152905
2019,Soybean,12,239.2249755,0.26275105
2019,Soybean,13,263.4808599,0.280954419
2019,Soybean,14,287.2275783,0.296139158
2019,Soybean,15,307.5414003,0.308887642
2019,Soybean,16,324.4223259,0.319199871
2019,Soybean,17,337.8703552,0.327075846
2019,Soybean,18,351.4647562,0.334618153
2019,Soybean,19,365.2055289,0.341826792
2019,Soybean,20,379.0926733,0.348701764
2019,Soybean,21,393.1261895,0.355243067
2019,Soybean,22,407.3060775,0.361450703
2019,Soybean,23,421.6323371,0.367324672
2019,Soybean,24,436.1049685,0.372864972
2019,Soybean,25,450.1072419,0.378693643
2019,Soybean,26,463.6391573,0.384810683
2019,Soybean,27,476.7007147,0.391216093
2019,Soybean,28,489.2919141,0.397909873
2019,Soybean,29,503.0261111,0.404976753
2019,Soybean,30,517.9033057,0.412416731
2019,Soybean,31,533.9234978,0.420229809
2019,Soybean,32,551.0866876,0.428415986
2019,Soybean,33,569.3928749,0.436975262
2019,Soybean,34,588.8420598,0.445907637
2019,Soybean,35,609.4342422,0.455213112
2019,Soybean,36,631.1694223,0.464891686
2019,Soybean,37,654.0475999,0.474943359
2019,Soybean,38,678.0687751,0.485368131
2019,Soybean,39,703.2329479,0.496166002
2019,Soybean,40,729.5401182,0.507336973
2019,Soybean,41,756.9902861,0.518881042
2019,Soybean,42,785.5834516,0.530798211
