Day,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,,
1,9:23,10:10,11:18,12:40,13:55,14:50,14:59,14:16,13:04,11:46,10:28,9:32,,
2,9:24,10:12,11:21,12:43,13:57,14:51,14:58,14:14,13:02,11:44,10:26,9:31,,
3,9:24,10:14,11:23,12:45,13:59,14:52,14:57,14:12,12:59,11:41,10:24,9:30,,
4,9:25,10:16,11:26,12:48,14:01,14:53,14:57,14:10,12:57,11:39,10:22,9:29,,
5,9:26,10:19,11:28,12:50,14:04,14:54,14:56,14:08,12:54,11:36,10:19,9:28,,
6,9:27,10:21,11:31,12:53,14:06,14:55,14:55,14:06,12:52,11:33,10:17,9:27,,
7,9:28,10:23,11:34,12:56,14:08,14:56,14:54,14:04,12:49,11:31,10:15,9:26,,
8,9:29,10:26,11:36,12:58,14:10,14:57,14:53,14:02,12:46,11:28,10:13,9:25,,
9,9:30,10:28,11:39,13:01,14:12,14:57,14:52,13:59,12:44,11:26,10:11,9:24,,
10,9:32,10:30,11:42,13:03,14:14,14:58,14:51,13:57,12:41,11:23,10:08,9:23,,
11,9:33,10:33,11:44,13:06,14:16,14:59,14:50,13:55,12:39,11:20,10:06,9:23,,
12,9:34,10:35,11:47,13:09,14:18,14:59,14:49,13:53,12:36,11:18,10:04,9:22,,
13,9:36,10:37,11:50,13:11,14:20,15:00,14:47,13:50,12:33,11:15,10:02,9:21,,
14,9:37,10:40,11:52,13:14,14:22,15:00,14:46,13:48,12:31,11:13,10:00,9:21,,
15,9:38,10:42,11:55,13:16,14:24,15:01,14:45,13:46,12:28,11:10,9:58,9:20,,
16,9:40,10:45,11:58,13:19,14:26,15:01,14:43,13:43,12:26,11:08,9:56,9:20,,
17,9:42,10:47,12:00,13:21,14:28,15:01,14:42,13:41,12:23,11:05,9:54,9:20,,
18,9:43,10:50,12:03,13:24,14:29,15:01,14:41,13:39,12:20,11:03,9:53,9:19,,
19,9:45,10:52,12:06,13:26,14:31,15:02,14:39,13:36,12:18,11:00,9:51,9:19,,
20,9:46,10:55,12:08,13:29,14:33,15:02,14:38,13:34,12:15,10:57,9:49,9:19,,
21,9:48,10:57,12:11,13:31,14:35,15:02,14:36,13:32,12:13,10:55,9:47,9:19,,
22,9:50,11:00,12:13,13:34,14:36,15:02,14:34,13:29,12:10,10:53,9:45,9:19,,
23,9:52,11:02,12:16,13:36,14:38,15:02,14:33,13:27,12:07,10:50,9:44,9:19,,
24,9:54,11:05,12:19,13:38,14:39,15:01,14:31,13:24,12:05,10:48,9:42,9:19,,
25,9:56,11:08,12:21,13:41,14:41,15:01,14:29,13:22,12:02,10:45,9:41,9:19,,
26,9:58,11:10,12:24,13:43,14:42,15:01,14:27,13:19,11:59,10:43,9:39,9:20,,
27,10:00,11:13,12:27,13:46,14:44,15:01,14:26,13:17,11:57,10:40,9:38,9:20,,
28,10:02,11:15,12:29,13:48,14:45,15:00,14:24,13:14,11:54,10:38,9:36,9:20,,
29,10:04,,12:32,13:50,14:46,15:00,14:22,13:12,11:52,10:36,9:35,9:21,,
30,10:06,,12:35,13:52,14:48,14:59,14:20,13:09,11:49,10:33,9:33,9:21,,
31,10:08,,12:37,,14:49,,14:18,13:07,,10:31,,9:22,,
