Cultivar,Nitrogen,Block,Yield,Interaction,Grand_mean,Cultivar_mean,Nitrogen_mean,Interaction_mean,Block_mean,Cultivar_effect,Nitrogen_effect,Interaction_effect,Block_effect,Residuals,Total
CV1,N0,I,99,CV1N0,130,126.75,97,99,119.38,-3.25,-33,5.25,-10.63,10.63,-31
CV1,N0,II,109,CV1N0,130,126.75,97,99,138.38,-3.25,-33,5.25,8.38,1.63,-21
CV1,N0,III,89,CV1N0,130,126.75,97,99,132.25,-3.25,-33,5.25,2.25,-12.25,-41
CV1,N1,I,115,CV1N1,130,126.75,126.5,130,119.38,-3.25,-3.5,6.75,-10.63,-4.38,-15
CV1,N1,II,142,CV1N1,130,126.75,126.5,130,138.38,-3.25,-3.5,6.75,8.38,3.63,12
CV1,N1,III,133,CV1N1,130,126.75,126.5,130,132.25,-3.25,-3.5,6.75,2.25,0.75,3
CV1,N2,I,121,CV1N2,130,126.75,145.5,140,119.38,-3.25,15.5,-2.25,-10.63,-8.38,-9
CV1,N2,II,157,CV1N2,130,126.75,145.5,140,138.38,-3.25,15.5,-2.25,8.38,8.63,27
CV1,N2,III,142,CV1N2,130,126.75,145.5,140,132.25,-3.25,15.5,-2.25,2.25,-0.25,12
CV1,N3,I,125,CV1N3,130,126.75,151,138,119.38,-3.25,21,-9.75,-10.63,-2.38,-5
CV1,N3,II,150,CV1N3,130,126.75,151,138,138.38,-3.25,21,-9.75,8.38,3.63,20
CV1,N3,III,139,CV1N3,130,126.75,151,138,132.25,-3.25,21,-9.75,2.25,-1.25,9
CV2,N0,I,82,CV2N0,130,133.25,97,95,119.38,3.25,-33,-5.25,-10.63,-2.38,-48
CV2,N0,II,104,CV2N0,130,133.25,97,95,138.38,3.25,-33,-5.25,8.38,0.63,-26
CV2,N0,III,99,CV2N0,130,133.25,97,95,132.25,3.25,-33,-5.25,2.25,1.75,-31
CV2,N1,I,117,CV2N1,130,133.25,126.5,123,119.38,3.25,-3.5,-6.75,-10.63,4.63,-13
CV2,N1,II,125,CV2N1,130,133.25,126.5,123,138.38,3.25,-3.5,-6.75,8.38,-6.38,-5
CV2,N1,III,127,CV2N1,130,133.25,126.5,123,132.25,3.25,-3.5,-6.75,2.25,1.75,-3
CV2,N2,I,145,CV2N2,130,133.25,145.5,151,119.38,3.25,15.5,2.25,-10.63,4.63,15
CV2,N2,II,154,CV2N2,130,133.25,145.5,151,138.38,3.25,15.5,2.25,8.38,-5.38,24
CV2,N2,III,154,CV2N2,130,133.25,145.5,151,132.25,3.25,15.5,2.25,2.25,0.75,24
CV2,N3,I,151,CV2N3,130,133.25,151,164,119.38,3.25,21,9.75,-10.63,-2.38,21
CV2,N3,II,166,CV2N3,130,133.25,151,164,138.38,3.25,21,9.75,8.38,-6.38,36
CV2,N3,III,175,CV2N3,130,133.25,151,164,132.25,3.25,21,9.75,2.25,8.75,45
,,,,,,,,,,,,,,,
,,,,,,,,,Sum of square,253.5,10695,1039.5,1504.75,711.25,14204
